run,subj_id,question_name,response_str
run2,P233,gender,female
run2,P234,gender,male
run2,P235,gender,male
run2,P236,gender,female
run2,P237,gender,male
run2,P238,gender,male
run2,P239,gender,female
run2,P240,gender,female
run2,P241,gender,male
run2,P242,gender,female
run2,P243,gender,female
run2,P244,gender,male
run2,P245,gender,male
run2,P246,gender,female
run2,P247,gender,male
run2,P248,gender,male
run2,P249,gender,female
run2,P250,gender,female
run2,P251,gender,male
run2,P252,gender,female
run2,P253,gender,male
run2,P254,gender,male
run2,P255,gender,male
run2,P256,gender,female
run2,P257,gender,female
run2,P258,gender,female
run2,P259,gender,male
run2,P260,gender,female
run2,P261,gender,male
run2,P262,gender,male
run2,P263,gender,female
run2,P264,gender,female
run2,P265,gender,male
run2,P266,gender,male
run2,P267,gender,female
run2,P268,gender,female
run2,P269,gender,male
run2,P270,gender,female
run2,P271,gender,male
run2,P272,gender,male
run2,P273,gender,female
run2,P274,gender,male
run2,P275,gender,female
run2,P276,gender,male
run2,P277,gender,male
run2,P278,gender,male
run2,P279,gender,female
run2,P280,gender,male
run2,P281,gender,female
run2,P282,gender,other
run2,P283,gender,male
run2,P284,gender,male
run2,P285,gender,male
run2,P286,gender,male
run2,P287,gender,male
run2,P288,gender,female
run2,P289,gender,male
run2,P290,gender,female
run2,P291,gender,female
run2,P292,gender,female
run2,P293,gender,male
run2,P294,gender,male
run2,P295,gender,female
run2,P296,gender,male
run2,P297,gender,female
run2,P298,gender,female
run2,P299,gender,male
run2,P300,gender,male
run2,P301,gender,male
run2,P302,gender,female
run2,P303,gender,male
run2,P304,gender,female
run2,P305,gender,female
run2,P306,gender,female
run2,P307,gender,male
run2,P308,gender,male
run2,P309,gender,male
run2,P310,gender,female
run2,P311,gender,female
run2,P312,gender,male
run2,P313,gender,male
run2,P314,gender,male
run2,P315,gender,male
run2,P316,gender,female
run2,P317,gender,male
run2,P318,gender,female
run2,P319,gender,female
run2,P320,gender,male
run2,P321,gender,male
run2,P322,gender,female
run2,P323,gender,male
run2,P324,gender,male
run2,P325,gender,female
run2,P326,gender,male
run2,P327,gender,female
run2,P328,gender,female
run2,P329,gender,female
run2,P330,gender,female
run2,P331,gender,female
run2,P332,gender,female
run2,P333,gender,female
run2,P334,gender,female
run2,P335,gender,female
run2,P165,native,1
run2,P166,native,1
run2,P167,native,1
run2,P168,native,1
run2,P169,native,1
run2,P170,native,1
run2,P171,native,1
run2,P172,native,1
run2,P173,native,1
run2,P174,native,1
run2,P175,native,1
run2,P176,native,1
run2,P177,native,1
run2,P178,native,1
run2,P179,native,1
run2,P180,native,1
run2,P181,native,1
run2,P182,native,1
run2,P183,native,1
run2,P184,native,1
run2,P185,native,1
run2,P186,native,1
run2,P187,native,1
run2,P188,native,1
run2,P189,native,1
run2,P190,native,1
run2,P191,native,1
run2,P192,native,1
run2,P193,native,1
run2,P194,native,1
run2,P195,native,1
run2,P196,native,1
run2,P197,native,1
run2,P198,native,1
run2,P199,native,1
